class,view,full_mean,classholdout_mean,classholdout_minus_full,wilcoxon_p
class_AED,structure,0.5343703703703703,0.8247407407407408,0.2903703703703705,0.001953125
class_AED,expression,0.5087407407407407,0.49540740740740735,-0.013333333333333364,0.232421875
class_AED,concat,0.5176666666666667,0.7158148148148149,0.19814814814814818,0.005859375
class_Statin,structure,0.9727777777777777,0.8881111111111112,-0.08466666666666656,0.064453125
class_Statin,expression,0.8865555555555554,0.7072222222222223,-0.17933333333333312,0.001953125
class_Statin,concat,0.9537777777777778,0.8442222222222222,-0.10955555555555563,0.10546875
class_SSRI,structure,0.7004444444444445,0.9396666666666667,0.23922222222222211,0.00390625
class_SSRI,expression,0.6354444444444445,0.44699999999999995,-0.18844444444444453,0.00390625
class_SSRI,concat,0.6781111111111111,0.7778888888888889,0.09977777777777774,0.02734375
class_NSAID,structure,0.7162222222222222,0.792074074074074,0.07585185185185184,0.064453125
class_NSAID,expression,0.5977037037037036,0.5431851851851851,-0.05451851851851852,0.005859375
class_NSAID,concat,0.6783703703703703,0.7046666666666667,0.026296296296296373,0.625
class_BetaBlocker,structure,0.9162222222222223,0.978111111111111,0.06188888888888877,0.001953125
class_BetaBlocker,expression,0.8705555555555555,0.7662222222222222,-0.10433333333333328,0.001953125
class_BetaBlocker,concat,0.9161111111111111,0.9671111111111111,0.051000000000000045,0.060546875
class_Antipsychotic,structure,0.5562222222222222,0.9392222222222223,0.3830000000000001,0.001953125
class_Antipsychotic,expression,0.4785555555555555,0.4366666666666667,-0.04188888888888881,0.009765625
class_Antipsychotic,concat,0.5457777777777778,0.825888888888889,0.2801111111111112,0.00390625
