class,seed,pretrain_seed,method,auroc,auprc
class_AED,42,0.0,contrastive_full_structure,0.45444444444444443,0.041498492771480155
class_AED,42,0.0,contrastive_full_expression,0.4066666666666667,0.04361148098778665
class_AED,42,0.0,contrastive_full_concat,0.44111111111111106,0.042541567080407613
class_AED,42,1.0,contrastive_full_structure,0.48000000000000004,0.04077760430219447
class_AED,42,1.0,contrastive_full_expression,0.6011111111111112,0.07958058379406693
class_AED,42,1.0,contrastive_full_concat,0.5111111111111112,0.04528686404441931
class_AED,42,2.0,contrastive_full_structure,0.52,0.046436011373513955
class_AED,42,2.0,contrastive_full_expression,0.52,0.0579804915881165
class_AED,42,2.0,contrastive_full_concat,0.5655555555555556,0.05183141668794833
class_AED,42,0.0,contrastive_classholdout_structure,0.75,0.16165284646867287
class_AED,42,0.0,contrastive_classholdout_expression,0.4444444444444444,0.0552515195957511
class_AED,42,0.0,contrastive_classholdout_concat,0.4444444444444444,0.21385782063716122
class_AED,42,1.0,contrastive_classholdout_structure,0.76,0.4004816569714864
class_AED,42,1.0,contrastive_classholdout_expression,0.5177777777777778,0.059847083670333805
class_AED,42,1.0,contrastive_classholdout_concat,0.4622222222222222,0.3602144460425698
class_AED,42,2.0,contrastive_classholdout_structure,0.7344444444444445,0.08691542520209934
class_AED,42,2.0,contrastive_classholdout_expression,0.5488888888888889,0.0733423675002578
class_AED,42,2.0,contrastive_classholdout_concat,0.3744444444444444,0.21769089108055145
class_AED,42,0.0,contrastive_debiased_structure,0.5433333333333334,0.06300283057278709
class_AED,42,0.0,contrastive_debiased_expression,0.47777777777777775,0.08909284428693512
class_AED,42,0.0,contrastive_debiased_concat,0.5700000000000001,0.06878440666952904
class_AED,42,1.0,contrastive_debiased_structure,0.4022222222222222,0.050143178386583664
class_AED,42,1.0,contrastive_debiased_expression,0.4033333333333333,0.037949231479391596
class_AED,42,1.0,contrastive_debiased_concat,0.40888888888888886,0.04378663494993609
class_AED,42,2.0,contrastive_debiased_structure,0.5433333333333333,0.2056790211670141
class_AED,42,2.0,contrastive_debiased_expression,0.4855555555555555,0.11847183680889234
class_AED,42,2.0,contrastive_debiased_concat,0.5288888888888889,0.2060295857322223
class_AED,42,,contrastive_randholdout0_concat,0.5366666666666667,0.04731623744139027
class_AED,42,,contrastive_randholdout1_concat,0.5666666666666667,0.05279445800415605
class_AED,42,,contrastive_randholdout2_concat,0.5088888888888888,0.04630761604603857
class_AED,42,,raw_expression_RF,0.5555555555555556,0.05675387724130795
class_AED,42,,raw_ecfp4_RF,0.7522222222222222,0.3688644405059137
class_AED,42,,raw_concat_RF,0.475,0.04584662207901644
class_AED,42,,neighbor_connectivity,0.5477777777777777,0.054250190096399656
class_AED,42,,random,0.5233333333333333,0.048498564972238416
class_AED,43,0.0,contrastive_full_structure,0.45333333333333337,0.04049587620357524
class_AED,43,0.0,contrastive_full_expression,0.4144444444444444,0.03688699745928124
class_AED,43,0.0,contrastive_full_concat,0.4266666666666667,0.03868765642677761
class_AED,43,1.0,contrastive_full_structure,0.42666666666666664,0.037228531656445116
class_AED,43,1.0,contrastive_full_expression,0.44666666666666666,0.03820346631201914
class_AED,43,1.0,contrastive_full_concat,0.4322222222222222,0.037282180680283494
class_AED,43,2.0,contrastive_full_structure,0.4955555555555555,0.04135745699452998
class_AED,43,2.0,contrastive_full_expression,0.40888888888888886,0.0360243440445733
class_AED,43,2.0,contrastive_full_concat,0.46444444444444444,0.03894429454069089
class_AED,43,0.0,contrastive_classholdout_structure,0.84,0.30564987447009917
class_AED,43,0.0,contrastive_classholdout_expression,0.4411111111111111,0.0374713126153671
class_AED,43,0.0,contrastive_classholdout_concat,0.7077777777777778,0.3352700870558013
class_AED,43,1.0,contrastive_classholdout_structure,0.838888888888889,0.1312797380337703
class_AED,43,1.0,contrastive_classholdout_expression,0.4211111111111111,0.03633855467945252
class_AED,43,1.0,contrastive_classholdout_concat,0.5788888888888889,0.07260662448162447
class_AED,43,2.0,contrastive_classholdout_structure,0.8544444444444443,0.1989332650622973
class_AED,43,2.0,contrastive_classholdout_expression,0.4444444444444444,0.03924446857406676
class_AED,43,2.0,contrastive_classholdout_concat,0.6111111111111112,0.30989310427320427
class_AED,43,0.0,contrastive_debiased_structure,0.4755555555555555,0.043172056469130735
class_AED,43,0.0,contrastive_debiased_expression,0.4311111111111111,0.040695784650804735
class_AED,43,0.0,contrastive_debiased_concat,0.4811111111111111,0.04679569874496839
class_AED,43,1.0,contrastive_debiased_structure,0.40555555555555556,0.036373609643421984
class_AED,43,1.0,contrastive_debiased_expression,0.3811111111111111,0.034459077414916495
class_AED,43,1.0,contrastive_debiased_concat,0.41333333333333333,0.038614588636879596
class_AED,43,2.0,contrastive_debiased_structure,0.5122222222222222,0.04381481521266468
class_AED,43,2.0,contrastive_debiased_expression,0.4766666666666667,0.04137293641323993
class_AED,43,2.0,contrastive_debiased_concat,0.5188888888888888,0.04536843625151698
class_AED,43,,contrastive_randholdout0_concat,0.5,0.04373072483023655
class_AED,43,,contrastive_randholdout1_concat,0.4688888888888889,0.04451943284803553
class_AED,43,,contrastive_randholdout2_concat,0.4477777777777778,0.0390496984880501
class_AED,43,,raw_expression_RF,0.3544444444444444,0.03588036840373289
class_AED,43,,raw_ecfp4_RF,0.8511111111111112,0.20231973107148424
class_AED,43,,raw_concat_RF,0.40055555555555555,0.03554574053847809
class_AED,43,,neighbor_connectivity,0.56,0.052987525569339985
class_AED,43,,random,0.38,0.11064147763874164
class_AED,44,0.0,contrastive_full_structure,0.54,0.05883715128110859
class_AED,44,0.0,contrastive_full_expression,0.49,0.049225023004438234
class_AED,44,0.0,contrastive_full_concat,0.5266666666666666,0.056630772451461184
class_AED,44,1.0,contrastive_full_structure,0.5744444444444444,0.05190292856358022
class_AED,44,1.0,contrastive_full_expression,0.4911111111111111,0.044988906658383995
class_AED,44,1.0,contrastive_full_concat,0.518888888888889,0.047694786955784205
class_AED,44,2.0,contrastive_full_structure,0.6022222222222222,0.05680564793888321
class_AED,44,2.0,contrastive_full_expression,0.5244444444444445,0.04702596674829334
class_AED,44,2.0,contrastive_full_concat,0.58,0.052364626195719126
class_AED,44,0.0,contrastive_classholdout_structure,0.8588888888888889,0.4611882320383529
class_AED,44,0.0,contrastive_classholdout_expression,0.5255555555555556,0.04541237245074708
