se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain,family
Angina pectoris,152,0.2846441947565543,0.6358156516946818,0.5487220997519977,0.5897113529898044,-0.087093551942684,-0.0461042987048774,other
Angioedema,236,0.4419475655430712,0.5571465134796951,0.4433369355022181,0.4565464679786145,-0.1138095779774769,-0.1006000455010805,systemic/organ
Angiopathy,209,0.3913857677902622,0.5366801619433199,0.5833934486566065,0.5836142804563857,0.0467132867132865,0.0469341185130658,other
Anorectal discomfort,34,0.0636704119850187,0.5409411764705883,0.4945294117647059,0.5701176470588235,-0.0464117647058823,0.0291764705882352,other
Anorectal disorder,30,0.0561797752808988,0.4851851851851852,0.5029761904761905,0.4993386243386243,0.0177910052910052,0.0141534391534391,other
Anxiety,250,0.4681647940074906,0.5732112676056338,0.5458732394366197,0.5550985915492956,-0.027338028169014,-0.0181126760563381,other
Apathy,45,0.0842696629213483,0.586821177005226,0.4863440127243808,0.5326062258577595,-0.1004771642808451,-0.0542149511474664,other
Aphasia,47,0.0880149812734082,0.588317532439163,0.5535846913364498,0.5498711171304994,-0.0347328411027131,-0.0384464153086635,other
Aphthous stomatitis,39,0.0730337078651685,0.618026418026418,0.4306656306656307,0.5681947681947682,-0.1873607873607873,-0.0498316498316497,other
Aplastic anaemia,88,0.1647940074906367,0.6894873624133714,0.5954443538524257,0.662020994700367,-0.0940430085609457,-0.0274663677130043,other
Apnoea,50,0.0936329588014981,0.5498347107438017,0.5021900826446282,0.5455785123966943,-0.0476446280991735,-0.0042561983471074,other
Arrhythmia,183,0.3426966292134831,0.5502000529322935,0.5595099092366852,0.5704544393068982,0.0093098563043917,0.0202543863746047,other
Arrhythmia supraventricular,25,0.046816479400749,0.5425540275049116,0.4361493123772103,0.5403536345776031,-0.1064047151277012,-0.0022003929273084,other
Arthralgia,274,0.5131086142322098,0.6137282425603594,0.5341942728804042,0.5548568220101067,-0.0795339696799551,-0.0588714205502527,other
Arthritis,114,0.2134831460674157,0.5746449456975773,0.4643692564745196,0.4795948203842941,-0.1102756892230577,-0.0950501253132831,other
Arthropathy,67,0.1254681647940075,0.5605803956662085,0.5471891079932245,0.5616989996484387,-0.013391287672984,0.0011186039822301,other
Aspartate aminotransferase increased,135,0.2528089887640449,0.6655713357467743,0.5417061171447137,0.5922769887682169,-0.1238652186020605,-0.0732943469785574,other
Asthenia,399,0.7471910112359551,0.6631021999443052,0.4980042699340945,0.5537733221943748,-0.1650979300102106,-0.1093288777499303,other
Asthma,122,0.2284644194756554,0.5623706827948431,0.511658443418749,0.517348400445647,-0.0507122393760941,-0.0450222823491961,other
Ataxia,113,0.2116104868913857,0.6413091459441279,0.5459609442330734,0.5691884051878167,-0.0953482017110545,-0.0721207407563112,other
Atrial fibrillation,111,0.2078651685393258,0.5975762997039593,0.5188379869230934,0.542308265712521,-0.0787383127808659,-0.0552680339914383,other
Atrial flutter,27,0.0505617977528089,0.4711812404120096,0.2827817956023084,0.422602089268756,-0.1883994448097012,-0.0485791511432536,other
Atrioventricular block,84,0.1573033707865168,0.6694179894179894,0.5948941798941798,0.6356878306878307,-0.0745238095238095,-0.0337301587301586,other
Azotaemia,25,0.046816479400749,0.4906876227897839,0.6129666011787819,0.5402750491159136,0.1222789783889979,0.0495874263261297,systemic/organ
Back pain,224,0.4194756554307116,0.6282834101382488,0.5491071428571429,0.582402073732719,-0.0791762672811059,-0.0458813364055298,other
Bacterial infection,25,0.046816479400749,0.7981925343811395,0.5690373280943025,0.780589390962672,-0.2291552062868369,-0.0176031434184674,other
Balance disorder,35,0.0655430711610486,0.6270254795304895,0.3593472659604924,0.530604065273404,-0.2676782135699971,-0.0964214142570855,other
Bladder pain,96,0.1797752808988764,0.5746765601217656,0.536767503805175,0.5588850837138508,-0.0379090563165905,-0.0157914764079147,other
Blepharitis,44,0.0823970037453183,0.5532467532467532,0.4508812615955473,0.4875231910946196,-0.1023654916512059,-0.0657235621521335,other
Blindness,31,0.0580524344569288,0.5802603732444045,0.361957288526903,0.472647983069326,-0.2183030847175014,-0.1076123901750785,other
Blister,52,0.097378277153558,0.3688557293329078,0.4362831152250239,0.4079955314395148,0.0674273858921161,0.039139802106607,other
Blood alkaline phosphatase increased,96,0.1797752808988764,0.6580336757990869,0.4798087899543379,0.5241390791476408,-0.178224885844749,-0.1338945966514461,other
Blood bilirubin increased,78,0.146067415730337,0.7347756410256411,0.6489541160593792,0.7161493477282951,-0.0858215249662618,-0.0186262932973459,systemic/organ
Blood cholesterol increased,31,0.0580524344569288,0.5432565894952863,0.4789328544859872,0.5036234207657282,-0.064323735009299,-0.0396331687295581,other
Blood creatine phosphokinase increased,58,0.1086142322097378,0.6172124022022603,0.5065198493190379,0.5619385685308607,-0.1106925528832223,-0.0552738336713996,other
Blood creatinine increased,130,0.2434456928838951,0.6625095201827875,0.5578065498857578,0.603998476770754,-0.1047029702970296,-0.0585110434120335,systemic/organ
Blood disorder,72,0.1348314606741573,0.4908910533910534,0.5008718133718133,0.4968133718133717,0.0099807599807599,0.0059223184223183,other
Blood glucose increased,42,0.0786516853932584,0.5085656213704994,0.5984320557491289,0.5549748354626404,0.0898664343786295,0.0464092140921409,other
Blood lactate dehydrogenase increased,38,0.0711610486891385,0.634125636672326,0.5057831069609507,0.6312075551782682,-0.1283425297113752,-0.0029180814940578,other
