se,struct,expr,set
Dermatitis exfoliative,0.565459076097374,0.5572380891529828,all
Diabetes mellitus,0.6168739279588337,0.5173027444253859,all
Diarrhoea,0.6845397324940992,0.5179189614476789,all
Diplopia,0.6519731226334566,0.5852393355074526,all
Discomfort,0.511597484984457,0.47300015472690704,all
Disorientation,0.6010433970099668,0.5298224667774086,all
Disturbance in attention,0.46448453137833473,0.5206704590393332,all
Disturbance in sexual arousal,0.6257648953301127,0.5313204508856683,all
Dizziness,0.6552707930367505,0.5153288201160542,all
Drug eruption,0.4723156349168759,0.4871879884431393,all
Drug interaction,0.5547202329658575,0.5194782040234154,all
Dry eye,0.5668476202499685,0.567201110970837,all
Dry mouth,0.6700192175510948,0.5459748348272525,all
Dry skin,0.623893065998329,0.5597141000649772,all
Dysarthria,0.6131465517241379,0.4772783251231527,all
Dysgeusia,0.5674736493014001,0.45595720444681553,all
Dyskinesia,0.7027614571092831,0.6217685076380728,all
Dysmenorrhoea,0.6467748043423378,0.5017987881848018,all
Dyspepsia,0.6583492147911773,0.5295099646914565,all
Dysphagia,0.6556728479552997,0.5040781504884405,all
Dysphonia,0.5680599826137351,0.5090915676615474,all
Dyspnoea,0.6183705549969551,0.5430586435925396,all
Dysuria,0.5673610495523447,0.6092899565641344,all
Ear pain,0.567094061461794,0.5138860049833887,all
Ecchymosis,0.6283829037779376,0.4694763475801851,all
Eczema,0.46460027481810195,0.4602752686234316,all
Ejaculation disorder,0.8202398512152889,0.5426794074264092,all
Electrocardiogram QT prolonged,0.7032910995175147,0.6620248695720393,all
Electrocardiogram abnormal,0.5315653807505789,0.5981475818078553,all
Embolism,0.6445012787723785,0.5542564852027767,all
Embolism venous,0.8152052655064703,0.5765283355644801,all
Endocrine disorder,0.522015022015022,0.49135586635586637,all
Eosinophilia,0.5981604589745925,0.4576450232219288,all
Epistaxis,0.6135974252637983,0.5474036475429523,all
Erectile dysfunction,0.6913808197373659,0.5029048945483486,all
Eructation,0.5465873015873015,0.5401322751322752,all
Erythema,0.5345068330362448,0.49907902554961375,all
Erythema multiforme,0.5412576755860337,0.5192655341909073,all
Euphoric mood,0.6238160792951541,0.5414922907488986,all
Extrapyramidal disorder,0.8294841826398628,0.6574411718871747,all
Extrasystoles,0.46072341980270365,0.5342832785288028,all
Extravasation,0.563558266932271,0.5892056772908366,all
Eye disorder,0.5833640044166359,0.5292013249907986,all
Eye haemorrhage,0.5345269968763945,0.4245872378402498,all
Eye irritation,0.5505449199399151,0.6061555179136437,all
Eye pain,0.5408876500857632,0.45724699828473414,all
Face oedema,0.6274509803921569,0.465452847805789,all
Fatigue,0.5901369034112397,0.567294455790031,all
Febrile neutropenia,0.7134517389798645,0.7417998317914213,all
Feeling abnormal,0.6027649102489867,0.5408222350897511,all
Feeling hot,0.5386687386687388,0.5390831390831391,all
Flat affect,0.5887829650748396,0.5095776906628653,all
Flatulence,0.5976175675480317,0.5236436181747214,all
Fluid retention,0.5048919412421987,0.5336712724497861,all
