se,struct_s1,expr_s1,struct_s2,expr_s2,adv,struct,expr,bin
Dizziness,0.6720261121856865,0.5604206963249516,0.6830029013539651,0.5109284332688588,-0.1418399419729206,0.6775145067698258,0.5356745647969052,0.65-0.70
Dizziness postural,0.6106362773029439,0.4146394915625685,0.6612608663890716,0.6424866681276937,-0.1073854920008766,0.6359485718460077,0.5285630798451311,0.60-0.65
Drug eruption,0.4998342253587837,0.4478283522000663,0.5291526547624686,0.4557381707952446,-0.06271017856297073,0.5144934400606261,0.45178326149765546,0.50-0.55
Drug interaction,0.502778355570083,0.5151992392951593,0.5297893204171991,0.4944878614090868,-0.011440287641517971,0.516283837993641,0.504843550352123,0.50-0.55
Drug withdrawal syndrome,0.7882553772618641,0.7394332536701945,0.7142369409354729,0.703721406623421,-0.029668828951860737,0.7512461590986685,0.7215773301468078,>0.70
Dry eye,0.6116651937886631,0.5450321929049362,0.5900265118040651,0.5620249968438329,-0.04731725792197955,0.600845852796364,0.5535285948743845,0.60-0.65
Dry mouth,0.6651727475487101,0.5543772531526603,0.6871046023930761,0.53622578518425,-0.130837155802438,0.6761386749708931,0.5453015191684552,0.65-0.70
Dry skin,0.6000556947925368,0.5873758470249698,0.5728952009653764,0.5568922305764412,-0.0143414090782511,0.5864754478789567,0.5721340388007055,0.55-0.60
Dysaesthesia,0.6048868081831591,0.5991791188353748,0.5636503559289425,0.61713589431155,0.02388892451741159,0.5842685820560508,0.6081575065734623,0.55-0.60
Dysarthria,0.6184729064039409,0.4497536945812807,0.5856834975369458,0.5092672413793103,-0.12256773399014784,0.6020782019704434,0.4795104679802955,0.60-0.65
Dysgeusia,0.5641717012962669,0.4958401222730091,0.5773794933167996,0.4990988133173763,-0.07330612951134055,0.5707755973065333,0.49746946779519274,0.55-0.60
Dyskinesia,0.7062867215041129,0.6026439482961223,0.7430082256169214,0.564042303172738,-0.14130434782608697,0.7246474735605171,0.5833431257344301,>0.70
Dysmenorrhoea,0.6851489522847766,0.483400656399899,0.6631216864428174,0.5427922241858116,-0.1610388790709417,0.674135319363797,0.5130964402928553,0.65-0.70
Dyspepsia,0.6325843194610646,0.5106885904652159,0.6121821861750063,0.528283768411411,-0.10289707337972204,0.6223832528180355,0.5194861794383134,0.60-0.65
Dysphagia,0.6027600172501077,0.4796842480265501,0.6222601391258695,0.4851592822455139,-0.13008831305195664,0.6125100781879886,0.48242176513603197,0.60-0.65
Dysphonia,0.6188785859171255,0.5426687916545929,0.6451028687337004,0.5173500434656622,-0.10198130976528541,0.631990727325413,0.5300094175601275,0.60-0.65
Dyspnoea,0.6117570419044651,0.5730247971336723,0.6162179768597851,0.5382153427839066,-0.058367439423335665,0.6139875093821251,0.5556200699587894,0.60-0.65
Dysuria,0.565109476110274,0.615831929793458,0.5305203439411401,0.6097686375321336,0.06498537363708878,0.547814910025707,0.6128002836627958,0.50-0.55
Ear disorder,0.4712301587301588,0.499537037037037,0.4430224867724868,0.533068783068783,0.05917658730158723,0.4571263227513228,0.51630291005291,<0.50
Ear infection,0.5311507936507937,0.5238756613756614,0.5622354497354497,0.5422619047619047,-0.013624338624338594,0.5466931216931217,0.533068783068783,0.50-0.55
Ear pain,0.5854443521594683,0.5428000415282392,0.5730377906976744,0.4978716777408638,-0.05890521179401981,0.5792410714285714,0.5203358596345515,0.55-0.60
Ecchymosis,0.5870314786793343,0.4725522784213529,0.6305410165455312,0.4650857043633568,-0.13996725622007788,0.6087862476124327,0.46881899139235483,0.60-0.65
Eczema,0.5060933029982205,0.4420742008875273,0.4872615051922601,0.4351586961908409,-0.0580609555560562,0.4966774040952403,0.43861644853918413,<0.50
Ejaculation disorder,0.7722054768165202,0.5198486500352721,0.8142756365035593,0.5771179375360738,-0.24475726287436678,0.7932405566600398,0.548483293785673,>0.70
Electrocardiogram QT prolonged,0.7351037539716786,0.6559447691523164,0.7200407955124937,0.6712430863374259,-0.063978346997215,0.7275722747420861,0.6635939277448711,>0.70
Electrocardiogram abnormal,0.586569968106951,0.6022543579885535,0.5767836078465638,0.5703613089256848,0.004631045480361806,0.5816767879767574,0.5863078334571192,0.55-0.60
Embolism,0.6352048065603052,0.5953395851094061,0.6125928632322494,0.5384240652782852,-0.05701700970243162,0.6238988348962773,0.5668818251938457,0.60-0.65
Embolism venous,0.8046630968317715,0.5759705488621152,0.8313253012048193,0.5519857206604195,-0.25401606425702805,0.8179941990182954,0.5639781347612673,>0.70
Encephalopathy,0.4474663612940166,0.5652447752648153,0.5352991697681077,0.5166332665330662,0.04955625536787861,0.49138276553106214,0.5409390208989407,<0.50
