class,method,mean,std,count
class_SSRI,raw_ecfp4_RF,0.9345000000000001,0.07992299534667845,10
class_SSRI,raw_expression_RF,0.35333333333333333,0.1028483241369434,10
class_Statin,contrastive_classholdout_concat,0.8442222222222221,0.21248742731944822,30
class_Statin,contrastive_classholdout_expression,0.7072222222222222,0.15357822356542647,30
class_Statin,contrastive_classholdout_structure,0.8881111111111112,0.15317754037755502,30
class_Statin,contrastive_debiased_concat,0.9510000000000001,0.050150348665431714,30
class_Statin,contrastive_debiased_expression,0.926111111111111,0.06285715322353166,30
class_Statin,contrastive_debiased_structure,0.9571111111111111,0.048016067978995054,30
class_Statin,contrastive_full_concat,0.9537777777777777,0.05729357973120851,30
class_Statin,contrastive_full_expression,0.8865555555555555,0.10704846660175936,30
class_Statin,contrastive_full_structure,0.9727777777777777,0.0351252093524892,30
class_Statin,contrastive_randholdout0_concat,0.9476666666666667,0.04666798939924347,10
class_Statin,contrastive_randholdout1_concat,0.9550000000000001,0.04369507133830154,10
class_Statin,contrastive_randholdout2_concat,0.923,0.07653692726108033,10
class_Statin,neighbor_connectivity,0.6900000000000001,0.17196755364362437,10
class_Statin,random,0.5003333333333334,0.19870227123159057,10
class_Statin,raw_concat_RF,0.9443333333333334,0.09018225715833927,10
class_Statin,raw_ecfp4_RF,0.9873333333333333,0.04005551702879948,10
class_Statin,raw_expression_RF,0.7328333333333333,0.19703676726520097,10
