se,struct,expr_strongest,expr_exemplar
Nervousness,0.5855947811036901,0.5347149799187876,0.5910311314265427
Neuralgia,0.5615468409586057,0.466627054862349,0.5203505644682116
Neuritis,0.6581688596491228,0.5144736842105263,0.5801535087719298
Neuroleptic malignant syndrome,0.7955968624349087,0.5119636147913784,0.7827433919978907
Neuropathy peripheral,0.6198387253473234,0.5438404741086175,0.49050325463907507
Neutropenia,0.6931562244062244,0.5091369778869779,0.5102119164619163
Night sweats,0.48744314811152856,0.5524355678597324,0.39984180344077513
Nightmare,0.6878676470588235,0.4856617647058824,0.5713235294117647
Nocturia,0.5635143570536829,0.4872034956304619,0.5042134831460674
Nuchal rigidity,0.6733900204337222,0.6127480060642014,0.48632258915035265
Nystagmus,0.6393041237113402,0.44426546391752575,0.4617912371134021
Oedema,0.590098747431904,0.5172421410740716,0.4855192524355491
Oedema peripheral,0.6521739130434783,0.5122013632028288,0.49238141763789056
Oesophagitis,0.5482870435640772,0.4466022839419146,0.49238686028478784
Oliguria,0.5264550264550265,0.49005291005291,0.401058201058201
Optic neuritis,0.5931186868686867,0.5471117424242424,0.5898042929292929
Oral candidiasis,0.7019974226804123,0.48743556701030927,0.47042525773195876
Oropharyngeal discomfort,0.5717280038995857,0.5622715086522057,0.4662929563733853
Oropharyngeal pain,0.5967728758169935,0.5888480392156863,0.4227532679738562
Orthostatic hypotension,0.6869518859123017,0.4817806210848994,0.5335998933759829
Osteoarthritis,0.5649922790444182,0.5180004238956005,0.5675356526478336
Osteoporosis,0.6721378077516861,0.5041846103843342,0.6032339319086699
Otitis media,0.59275214043401,0.5106348608044802,0.49604221635883905
Pain,0.5978110916950244,0.5388117354915847,0.5823829669824335
Pain in extremity,0.5360555484775131,0.5212447445534463,0.573894763664161
